event_id,rdate,description,url,affiliation
wikipedia-2014-01-02christianfeast-day:basil-the-great-catholic-churchandchurch-of-england-defendens-of-thebesgregory-of-nazianzus-catholic-church-johann-konrad-wilhelm-lohe-lutheran-church-macarius-of-alexandriaseraphim-of-sarov-repose-vedanayagam-samuel-azariah-episcopal-church-january-2-eastern-orthodox-liturgics,2014-01-02,ChristianFeast Day:Basil the Great(Catholic ChurchandChurch of England)Defendens of ThebesGregory of Nazianzus(Catholic Church)Johann Konrad Wilhelm Löhe(Lutheran Church)Macarius of AlexandriaSeraphim of Sarov(repose)Vedanayagam Samuel Azariah(Episcopal Church)January 2 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-01-02basil-the-great-catholic-churchandchurch-of-england,2014-01-02,Basil the Great(Catholic ChurchandChurch of England),http://en.wikipedia.org/wiki/Basil_of_Caesarea,
wikipedia-2014-01-02defendens-of-thebes,2014-01-02,Defendens of Thebes,http://en.wikipedia.org/wiki/Defendens,
wikipedia-2014-01-02gregory-of-nazianzus-catholic-church,2014-01-02,Gregory of Nazianzus(Catholic Church),http://en.wikipedia.org/wiki/Gregory_of_Nazianzus,
wikipedia-2014-01-02johann-konrad-wilhelm-lohe-lutheran-church,2014-01-02,Johann Konrad Wilhelm Löhe(Lutheran Church),http://en.wikipedia.org/wiki/Johann_Konrad_Wilhelm_L%C3%B6he,
wikipedia-2014-01-02macarius-of-alexandria,2014-01-02,Macarius of Alexandria,http://en.wikipedia.org/wiki/Macarius_of_Alexandria,
wikipedia-2014-01-02seraphim-of-sarov-repose,2014-01-02,Seraphim of Sarov(repose),http://en.wikipedia.org/wiki/Seraphim_of_Sarov,
wikipedia-2014-01-02vedanayagam-samuel-azariah-episcopal-church,2014-01-02,Vedanayagam Samuel Azariah(Episcopal Church),http://en.wikipedia.org/wiki/Vedanayagam_Samuel_Azariah,
wikipedia-2014-01-02january-2-eastern-orthodox-liturgics,2014-01-02,January 2 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_2_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-02the-first-day-ofblacks-and-whites-carnival-celebrated-until-january-7-southerncolombia,2014-01-02,"The first day ofBlacks and Whites' Carnival, celebrated until January 7. (southernColombia)",http://en.wikipedia.org/wiki/Blacks_and_Whites%27_Carnival,
wikipedia-2014-01-02the-first-day-of-thecarnival-of-riosucio-celebrated-until-january-8-every-2-years-riosucio,2014-01-02,"The first day of theCarnival of Riosucio, celebrated until January 8 every 2 years. (Riosucio)","http://en.wikipedia.org/wiki/Riosucio,_Caldas#Carnival_of_Riosucio",
wikipedia-2014-01-02the-ninthday-of-christmas-western-christianity,2014-01-02,The ninthday of Christmas(Western Christianity),http://en.wikipedia.org/wiki/Twelve_Days_of_Christmas,
wikipedia-2014-01-02the-second-day-ofnew-year-a-holiday-inkazakhstan-macedonia-mauritius-montenegro-new-zealand-romania-russia-switzerland-ukraine-:bank-holiday-if-it-is-a-sunday-the-day-moves-tojanuary-3-scotland-kaapse-klopse-cape-town,2014-01-02,"The second day ofNew Year(a holiday inKazakhstan,Macedonia,Mauritius,Montenegro,New Zealand,Romania,Russia,Switzerland,Ukraine):Bank Holiday, if it is a Sunday, the day moves toJanuary 3(Scotland)Kaapse Klopse(Cape Town)",http://en.wikipedia.org/wiki/New_Year,
wikipedia-2014-01-02bank-holiday-if-it-is-a-sunday-the-day-moves-tojanuary-3-scotland,2014-01-02,"Bank Holiday, if it is a Sunday, the day moves toJanuary 3(Scotland)",http://en.wikipedia.org/wiki/Public_and_Bank_holidays_in_Scotland,
wikipedia-2014-01-02kaapse-klopse-cape-town,2014-01-02,Kaapse Klopse(Cape Town),http://en.wikipedia.org/wiki/Kaapse_Klopse,
wikipedia-2014-01-02victory-of-armed-forces-day-cuba,2014-01-02,Victory of Armed Forces Day(Cuba),http://en.wikipedia.org/wiki/Public_holidays_in_Cuba,
wikipedia-2014-01-03christianfeast-day:genevievewilliam-passavant-episcopal-church-usa-january-3-eastern-orthodox-liturgics,2014-01-03,ChristianFeast Day:GenevieveWilliam Passavant(Episcopal Church (USA))January 3 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-01-03genevieve,2014-01-03,Genevieve,http://en.wikipedia.org/wiki/Genevieve,
wikipedia-2014-01-03william-passavant-episcopal-church-usa,2014-01-03,William Passavant(Episcopal Church (USA)),http://en.wikipedia.org/wiki/William_Passavant,
wikipedia-2014-01-03january-3-eastern-orthodox-liturgics,2014-01-03,January 3 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_3_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-03tamaseseri-festival-hakozaki-shrine-fukuoka,2014-01-03,"Tamaseseri Festival(Hakozaki Shrine,Fukuoka)",http://en.wikipedia.org/wiki/Hakozaki_Shrine#Festivals,
wikipedia-2014-01-03the-tenthday-of-christmas-western-christianity,2014-01-03,The tenthday of Christmas(Western Christianity),http://en.wikipedia.org/wiki/Twelve_Days_of_Christmas,
wikipedia-2014-01-03first-day-of-schoolat-schools-inmalaysiaandsingapore,2014-01-03,First day of schoolat schools inMalaysiaandSingapore,http://en.wikipedia.org/wiki/First_day_of_school,
wikipedia-2014-01-04chona-hajimeshiki-attsurugaoka-hachiman-gu-kamakura-japan,2014-01-04,"Chōna-hajimeshiki(手斧初式) atTsurugaoka Hachiman-gū. (Kamakura,Japan)",http://en.wikipedia.org/wiki/Kamakura%27s_festivals_and_events,
wikipedia-2014-01-04christianfeast-day:elizabeth-ann-setonjanuary-4-eastern-orthodox-liturgics,2014-01-04,ChristianFeast Day:Elizabeth Ann SetonJanuary 4 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-01-04elizabeth-ann-seton,2014-01-04,Elizabeth Ann Seton,http://en.wikipedia.org/wiki/Elizabeth_Ann_Seton,
wikipedia-2014-01-04january-4-eastern-orthodox-liturgics,2014-01-04,January 4 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_4_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-04day-of-the-fallen-against-the-colonial-repression-angola,2014-01-04,Day of the Fallen against the Colonial Repression(Angola),http://en.wikipedia.org/wiki/Public_holidays_in_Angola,
wikipedia-2014-01-04day-of-the-martyrs-democratic-republic-of-the-congo,2014-01-04,Day of the Martyrs(Democratic Republic of the Congo),http://en.wikipedia.org/wiki/Public_holidays_in_the_Democratic_Republic_of_the_Congo,
wikipedia-2014-01-04independence-day-celebrates-the-independence-ofburmafrom-theunited-kingdomin-1948,2014-01-04,"Independence Day, celebrates the independence ofBurmafrom theUnited Kingdomin 1948.",http://en.wikipedia.org/wiki/List_of_national_independence_days,
wikipedia-2014-01-04ogoni-day-movement-for-the-survival-of-the-ogoni-people,2014-01-04,Ogoni Day(Movement for the Survival of the Ogoni People),http://en.wikipedia.org/wiki/Movement_for_the_Survival_of_the_Ogoni_People,
wikipedia-2014-01-04the-eleventhday-of-christmas-westernchristianity,2014-01-04,The eleventhday of Christmas. (WesternChristianity),http://en.wikipedia.org/wiki/Twelve_Days_of_Christmas,
wikipedia-2014-01-05christianfeast-day:john-neumann-catholic-church-pope-telesphorussimeon-stylites-latin-church-january-5-eastern-orthodox-liturgics,2014-01-05,ChristianFeast Day:John Neumann(Catholic Church)Pope TelesphorusSimeon Stylites(Latin Church)January 5 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-01-05john-neumann-catholic-church,2014-01-05,John Neumann(Catholic Church),http://en.wikipedia.org/wiki/John_Neumann,
wikipedia-2014-01-05pope-telesphorus,2014-01-05,Pope Telesphorus,http://en.wikipedia.org/wiki/Pope_Telesphorus,
wikipedia-2014-01-05simeon-stylites-latin-church,2014-01-05,Simeon Stylites(Latin Church),http://en.wikipedia.org/wiki/Simeon_Stylites,
wikipedia-2014-01-05january-5-eastern-orthodox-liturgics,2014-01-05,January 5 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_5_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-05joma-shinji-attsurugaoka-hachiman-kamakura-japan,2014-01-05,"Joma Shinji(除魔神事)atTsurugaoka Hachiman. (Kamakura,Japan)",http://en.wikipedia.org/wiki/Kamakura%27s_festivals_and_events,
wikipedia-2014-01-05the-twelfthday-of-christmasand-thetwelfth-nightofchristmas-western-christianity,2014-01-05,The Twelfthday of Christmasand theTwelfth NightofChristmas. (Western Christianity),http://en.wikipedia.org/wiki/Twelve_Days_of_Christmas,
wikipedia-2014-01-05national-bird-day,2014-01-05,National Bird Day,http://en.wikipedia.org/wiki/Bird_Day#National_Bird_Day,
wikipedia-2014-01-06armed-forces-day-iraq,2014-01-06,Armed Forces Day(Iraq),http://en.wikipedia.org/wiki/Public_holidays_in_Iraq,
wikipedia-2014-01-06christianfeast-day:andre-bessette-roman-catholic-church-january-6-eastern-orthodox-liturgics,2014-01-06,ChristianFeast Day:André Bessette(Roman Catholic Church)January 6 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_saints,
wikipedia-2014-01-06andre-bessette-roman-catholic-church,2014-01-06,André Bessette(Roman Catholic Church),http://en.wikipedia.org/wiki/Andr%C3%A9_Bessette,
wikipedia-2014-01-06january-6-eastern-orthodox-liturgics,2014-01-06,January 6 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_6_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-06epiphany-western-christianity-ortheophany-eastern-christianity-and-its-related-observances:befana-day-italy-christmas-armenian-apostolic-church-little-christmas-ireland,2014-01-06,"Epiphany(Western Christianity) orTheophany(Eastern Christianity), and its related observances:Befana Day(Italy)Christmas(Armenian Apostolic Church)Little Christmas(Ireland)",http://en.wikipedia.org/wiki/Epiphany_(holiday),
wikipedia-2014-01-06befana-day-italy,2014-01-06,Befana Day(Italy),http://en.wikipedia.org/wiki/Befana,
wikipedia-2014-01-06christmas-armenian-apostolic-church,2014-01-06,Christmas(Armenian Apostolic Church),http://en.wikipedia.org/wiki/Christmas#Using_the_Julian_calendar,
wikipedia-2014-01-06little-christmas-ireland,2014-01-06,Little Christmas(Ireland),http://en.wikipedia.org/wiki/Little_Christmas,
wikipedia-2014-01-06pathet-lao-day-laos,2014-01-06,Pathet Lao Day(Laos),http://en.wikipedia.org/wiki/Public_holidays_in_Laos,
wikipedia-2014-01-06the-beginning-of-thecarnivalperiod-from-epiphany-untilshrove-tuesday-roman-catholicism,2014-01-06,"The beginning of theCarnivalperiod, from Epiphany untilShrove Tuesday. (Roman Catholicism)",http://en.wikipedia.org/wiki/Carnival,
wikipedia-2014-01-07christianfeast-day:canute-lavardcharles-of-sezzest-andre-bessette-canada-lucian-of-antiochraymond-of-penafortjanuary-7-eastern-orthodox-liturgics,2014-01-07,ChristianFeast Day:Canute LavardCharles of SezzeSt. André Bessette (Canada)Lucian of AntiochRaymond of PeñafortJanuary 7 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-01-07canute-lavard,2014-01-07,Canute Lavard,http://en.wikipedia.org/wiki/Canute_Lavard,
wikipedia-2014-01-07charles-of-sezze,2014-01-07,Charles of Sezze,http://en.wikipedia.org/wiki/Charles_of_Sezze,
wikipedia-2014-01-07lucian-of-antioch,2014-01-07,Lucian of Antioch,http://en.wikipedia.org/wiki/Lucian_of_Antioch,
wikipedia-2014-01-07raymond-of-penafort,2014-01-07,Raymond of Peñafort,http://en.wikipedia.org/wiki/Raymond_of_Pe%C3%B1afort,
wikipedia-2014-01-07january-7-eastern-orthodox-liturgics,2014-01-07,January 7 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_7_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-07christmas-eastern-orthodox-churchesandoriental-orthodox-churchesusing-thejulian-calendar,2014-01-07,Christmas(Eastern Orthodox ChurchesandOriental Orthodox Churchesusing theJulian Calendar),http://en.wikipedia.org/wiki/Christmas,
wikipedia-2014-01-07distaff-day-medieval-europe,2014-01-07,Distaff Day(medieval Europe),http://en.wikipedia.org/wiki/Distaff_Day,
wikipedia-2014-01-07festival-of-seven-herbsornanakusa-no-sekku-japan,2014-01-07,Festival of Seven HerbsorNanakusa no sekku(Japan),http://en.wikipedia.org/wiki/Nanakusa_no_sekku,
wikipedia-2014-01-07pioneer-s-day-liberia-controversial,2014-01-07,Pioneer's Day(Liberia(controversial)),http://en.wikipedia.org/wiki/Public_holidays_in_Liberia,
wikipedia-2014-01-07synaxisofjohn-the-forerunner-amp;-baptist-julian-calendar,2014-01-07,SynaxisofJohn the Forerunner &amp; Baptist(Julian Calendar),http://en.wikipedia.org/wiki/Synaxis,
wikipedia-2014-01-07tricolour-dayorfesta-del-tricolore-italy,2014-01-07,Tricolour dayorFesta del Tricolore(Italy),http://en.wikipedia.org/wiki/Flag_of_Italy,
wikipedia-2014-01-07victory-from-genocide-day-cambodia,2014-01-07,Victory from Genocide Day(Cambodia),http://en.wikipedia.org/wiki/Public_holidays_in_Cambodia,
wikipedia-2014-01-08christianfeast-day:abo-of-tiflisapollinaris-claudiusgudulalawrence-giustinianilucian-of-beauvaisour-lady-of-prompt-succor-bon-secours-roman-catholic-church-pegaseverinus-of-noricumthorfinn-of-hamarharriet-bedell-episcopal-church-usa-january-8-eastern-orthodox-liturgics,2014-01-08,ChristianFeast Day:Abo of TiflisApollinaris ClaudiusGudulaLawrence_GiustinianiLucian of BeauvaisOur Lady of Prompt Succor(Bon Secours) (Roman Catholic Church)PegaSeverinus of NoricumThorfinn of HamarHarriet Bedell(Episcopal Church (USA))January 8 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Calendar_of_Saints,
wikipedia-2014-01-08abo-of-tiflis,2014-01-08,Abo of Tiflis,http://en.wikipedia.org/wiki/Abo_of_Tiflis,
wikipedia-2014-01-08apollinaris-claudius,2014-01-08,Apollinaris Claudius,http://en.wikipedia.org/wiki/Apollinaris_Claudius,
wikipedia-2014-01-08gudula,2014-01-08,Gudula,http://en.wikipedia.org/wiki/Gudula,
wikipedia-2014-01-08lawrence-giustiniani,2014-01-08,Lawrence_Giustiniani,http://en.wikipedia.org/wiki/Lawrence_Giustiniani,
wikipedia-2014-01-08lucian-of-beauvais,2014-01-08,Lucian of Beauvais,http://en.wikipedia.org/wiki/Lucian_of_Beauvais,
wikipedia-2014-01-08our-lady-of-prompt-succor-bon-secours-roman-catholic-church,2014-01-08,Our Lady of Prompt Succor(Bon Secours) (Roman Catholic Church),http://en.wikipedia.org/wiki/Our_Lady_of_Prompt_Succor,
wikipedia-2014-01-08pega,2014-01-08,Pega,http://en.wikipedia.org/wiki/Pega,
wikipedia-2014-01-08severinus-of-noricum,2014-01-08,Severinus of Noricum,http://en.wikipedia.org/wiki/Severinus_of_Noricum,
wikipedia-2014-01-08thorfinn-of-hamar,2014-01-08,Thorfinn of Hamar,http://en.wikipedia.org/wiki/Thorfinn_of_Hamar,
wikipedia-2014-01-08harriet-bedell-episcopal-church-usa,2014-01-08,Harriet Bedell(Episcopal Church (USA)),http://en.wikipedia.org/wiki/Harriet_Bedell,
wikipedia-2014-01-08january-8-eastern-orthodox-liturgics,2014-01-08,January 8 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_8_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-08commonwealth-day-northern-mariana-islands,2014-01-08,Commonwealth Day(Northern Mariana Islands),http://en.wikipedia.org/wiki/Commonwealth_Day,
wikipedia-2014-01-08earliest-day-on-whichchildren-s-daycan-fall-while-january-14-is-the-latest;-celebrated-on-the-second-saturday-in-january-thailand,2014-01-08,"Earliest day on whichChildren's Daycan fall, while January 14 is the latest; celebrated on the second Saturday in January. (Thailand)",http://en.wikipedia.org/wiki/Public_holidays_in_Thailand,
wikipedia-2014-01-08kim-jong-un-s-birthday-north-korea,2014-01-08,Kim Jong-un's Birthday(North Korea),http://en.wikipedia.org/wiki/Public_holidays_in_North_Korea,
wikipedia-2014-01-09christianfeast-day:adrian-of-canterburymetropolitan-philip-ii-of-moscowjulia-chester-emery-episcopal-church-usa-january-9-eastern-orthodox-liturgics,2014-01-09,ChristianFeast Day:Adrian of CanterburyMetropolitan Philip II of MoscowJulia Chester Emery(Episcopal Church (USA))January 9 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-01-09adrian-of-canterbury,2014-01-09,Adrian of Canterbury,http://en.wikipedia.org/wiki/Adrian_of_Canterbury,
wikipedia-2014-01-09metropolitan-philip-ii-of-moscow,2014-01-09,Metropolitan Philip II of Moscow,http://en.wikipedia.org/wiki/Metropolitan_Philip,
wikipedia-2014-01-09julia-chester-emery-episcopal-church-usa,2014-01-09,Julia Chester Emery(Episcopal Church (USA)),http://en.wikipedia.org/wiki/Julia_Chester_Emery,
wikipedia-2014-01-09january-9-eastern-orthodox-liturgics,2014-01-09,January 9 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_9_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-09feast-of-the-black-nazarene-manila-philippines,2014-01-09,"Feast of the Black Nazarene(Manila,Philippines)",http://en.wikipedia.org/wiki/Black_Nazarene,
wikipedia-2014-01-09martyrs-day-panama,2014-01-09,Martyrs' Day(Panama),http://en.wikipedia.org/wiki/Martyrs%27_Day_(Panama),
wikipedia-2014-01-09republic-day-republika-srpska,2014-01-09,Republic Day(Republika Srpska),http://en.wikipedia.org/wiki/Republic_Day,
wikipedia-2014-01-09firstagonalia-roman-empire,2014-01-09,FirstAgonalia(Roman Empire),http://en.wikipedia.org/wiki/Agonalia,
wikipedia-2014-01-10christianfeast-day:william-of-donjeonobadiah-coptic-church-peter-orseolopope-agatho-roman-catholic-william-laud-anglican-communion-january-10-eastern-orthodox-liturgics,2014-01-10,ChristianFeast Day:William of DonjeonObadiah(Coptic Church)Peter OrseoloPope Agatho(Roman Catholic)William Laud(Anglican Communion)January 10 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-01-10william-of-donjeon,2014-01-10,William of Donjeon,http://en.wikipedia.org/wiki/William_of_Donjeon,
wikipedia-2014-01-10obadiah-coptic-church,2014-01-10,Obadiah(Coptic Church),http://en.wikipedia.org/wiki/Obadiah#Prophet,
wikipedia-2014-01-10peter-orseolo,2014-01-10,Peter Orseolo,http://en.wikipedia.org/wiki/Pietro_I_Orseolo,
wikipedia-2014-01-10pope-agatho-roman-catholic,2014-01-10,Pope Agatho(Roman Catholic),http://en.wikipedia.org/wiki/Pope_Agatho,
wikipedia-2014-01-10william-laud-anglican-communion,2014-01-10,William Laud(Anglican Communion),http://en.wikipedia.org/wiki/William_Laud,
wikipedia-2014-01-10january-10-eastern-orthodox-liturgics,2014-01-10,January 10 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_10_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-10traditional-day-benin,2014-01-10,Traditional Day(Benin),http://en.wikipedia.org/wiki/Public_holidays_in_Benin,
wikipedia-2014-01-11christianfeast-day:leucius-of-brindisi-roman-catholic-vitalis-of-gaza-roman-catholic-paulinus-ii-of-aquileiatheodosius-the-cenobiarchmary-slessor-church-of-england-january-11-eastern-orthodox-liturgics,2014-01-11,ChristianFeast Day:Leucius of Brindisi(Roman Catholic)Vitalis of Gaza(Roman Catholic)Paulinus II of AquileiaTheodosius the CenobiarchMary Slessor(Church of England)January 11 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/Feast_Day,
wikipedia-2014-01-11leucius-of-brindisi-roman-catholic,2014-01-11,Leucius of Brindisi(Roman Catholic),http://en.wikipedia.org/wiki/Leucius_of_Brindisi,
wikipedia-2014-01-11vitalis-of-gaza-roman-catholic,2014-01-11,Vitalis of Gaza(Roman Catholic),http://en.wikipedia.org/wiki/Vitalis_of_Gaza,
wikipedia-2014-01-11paulinus-ii-of-aquileia,2014-01-11,Paulinus II of Aquileia,http://en.wikipedia.org/wiki/Paulinus_II_of_Aquileia,
wikipedia-2014-01-11theodosius-the-cenobiarch,2014-01-11,Theodosius the Cenobiarch,http://en.wikipedia.org/wiki/Theodosius_the_Cenobiarch,
wikipedia-2014-01-11mary-slessor-church-of-england,2014-01-11,Mary Slessor(Church of England),http://en.wikipedia.org/wiki/Mary_Slessor,
wikipedia-2014-01-11january-11-eastern-orthodox-liturgics,2014-01-11,January 11 (Eastern Orthodox liturgics),http://en.wikipedia.org/wiki/January_11_(Eastern_Orthodox_liturgics),
wikipedia-2014-01-11earliest-day-on-whichtriodioncan-fall-while-february-14-is-the-latest;-celebrated-70-days-before-easter-eastern-orthodox,2014-01-11,"Earliest day on whichTriodioncan fall, while February 14 is the latest; celebrated 70 days before Easter. (Eastern Orthodox)",http://en.wikipedia.org/wiki/Triodion,
wikipedia-2014-01-11eugenio-maria-de-hostos-day-puerto-rico,2014-01-11,Eugenio Maria de Hostos Day(Puerto Rico),http://en.wikipedia.org/wiki/Eugenio_Maria_de_Hostos,
wikipedia-2014-01-11first-day-ofcarmentalia-in-honor-ofcarmenta-roman-empire,2014-01-11,"First day ofCarmentalia, in honor ofCarmenta. (Roman Empire)",http://en.wikipedia.org/wiki/Carmentalia,
wikipedia-2014-01-11independence-resistance-day-morocco,2014-01-11,Independence Resistance Day(Morocco),http://en.wikipedia.org/wiki/Morocco#Resistance,
wikipedia-2014-01-11kagami-biraki-japan,2014-01-11,Kagami Biraki(Japan),http://en.wikipedia.org/wiki/Kagami_Biraki,
